handNumber,startRow,endRow,handUpdatedAt,handEdit,handEditTime,label,table,tableUpdatedAt,Cam,CamFile01name,CamFile01number,CamFile02name,CamFile02number,lastStreet,lastAction,workStatus,winners
126,1673,1692,2025-09-15,,2025. 9. 15 오전 6:04:10,HOLDEM,915T04,2025-09-15,camAa+camBa,camAa,156,camBa,157,flop,SOHEE Folds,진행중,
127,1693,1710,2025-09-15,,2025. 9. 15 오전 6:10:00,HOLDEM,915T05,2025-09-15,camAa+camBa,camAa,156,camBa,157,preflop,SHAHINA All In 10900,진행중,
128,1711,1723,2025-09-15,,2025. 9. 15 오전 6:21:52,HOLDEM,915T05,2025-09-15,camAa+camBa,camAa,158,camBa,159,preflop,V02 Calls 0,진행중,
129,1724,1736,2025-09-15,,2025. 9. 15 오전 6:26:57,HOLDEM,915T04,2025-09-15,camAa+camBa,camAa,159,camBa,160,river,V08 Calls 10000,검토필요,
130,1737,1749,2025-09-15,,2025. 9. 15 오전 6:28:51,HOLDEM,915T04,2025-09-15,camAa+camBa,camAa,160,camBa,161,turn,SOHEE Folds,진행중,
131,1750,1762,2025-09-15,,2025. 9. 15 오전 7:04:29,HOLDEM,915T02,2025-09-15,camAa+camBa,camAa,162,camBa,163,turn,V06 All In 50000,진행중,
132,1763,1776,2025-09-15,,2025. 9. 15 오전 7:08:07,HOLDEM,915T04,2025-09-15,camAa+camBa,camAa,161,camBa,162,flop,SOHEE Folds,진행중,
133,1777,1792,2025-09-15,,2025. 9. 15 오전 7:11:21,HOLDEM,915T05,2025-09-15,camAa+camBa,camAa,163,camBa,164,turn,V09 Folds,진행중,
134,1793,1818,2025-09-15,,2025. 9. 15 오전 7:20:18,HOLDEM,915T05,2025-09-15,camAa+camBa,camAa,164,camBa,165,river,wolfking Checks,검토필요,
135,1819,1826,2025-09-16,,2025. 9. 16 오전 1:27:22,HOLDEM,T02,2025-09-16,camAa+camBa,camAa,1,camBa,1,preflop,Lad Park Folds,완료,
136,1827,1840,2025-09-16,,2025. 9. 16 오전 1:53:06,HOLDEM,T02,2025-09-16,camAa+camBa,camAa,165,camBa,166,preflop,"Jaewon Call 15,000 15000",완료,
137,1841,1849,2025-09-16,,2025. 9. 16 오전 3:22:32,HOLDEM,T02,2025-09-16,camAa+camBa,camAa,166,camBa,167,river,"Jaewon Call 20,000 20000",완료,
138,1850,1863,2025-09-17,,2025. 9. 16 오후 7:24:43,HOLDEM,T02,2025-09-17,camAa+camBa,camAa,167,camBa,168,river,"Jaewon Call 5,000 5000",완료,Jaewon
139,1864,1878,2025-09-17,,2025. 9. 16 오후 11:28:50,HOLDEM,915T04,2025-09-17,camAa+camBa,camAa,1,camBa,1,river,"SHAHINA Call 13,000 13000",완료,
140,1889,1902,2025-09-18,,2025. 9. 17 오후 8:59:18,HOLDEM,915T02,2025-09-18,Cam1+Cam2,Cam1,2,Cam2,2,turn,"V03 Call 4,000 4000",완료,santa
141,1903,1912,2025-09-18,,2025. 9. 17 오후 10:12:37,HOLDEM,915T02,2025-09-18,Cam1+Cam2,Cam1,3,Cam2,3,river,"santa Call 3,000 3000",완료,
142,1913,1936,2025-09-18,,2025. 9. 18 오전 3:23:01,HOLDEM,Table04,2025-09-18,Cam1+Cam2,Cam1,4,Cam2,4,river,"V08 Call 41,000 41000",완료,V08
143,1937,1957,2025-09-18,,2025. 9. 18 오전 3:56:17,HOLDEM,915T02,2025-09-18,Cam1+Cam2,Cam1,5,Cam2,5,turn,"V03 Call 8,000 8000",완료,santa
144,1958,1976,2025-09-18,,2025. 9. 18 오전 6:37:07,HOLDEM,915T02,2025-09-18,Cam1+Cam2,Cam1,6,Cam2,6,river,santa Check,완료,V05
145,1977,1994,2025-09-18,,2025. 9. 18 오전 6:44:06,HOLDEM,915T04,2025-09-18,Cam1+Cam2,Cam1,7,Cam2,7,river,SHAHINA Check,완료,SHAHINA
146,1995,2012,2025-09-19,,2025. 9. 18 오후 6:40:29,HOLDEM,915T02,2025-09-19,Cam1+Cam2,Cam1,8,Cam2,8,river,santa Folds,완료,santa
147,2013,2033,2025-09-19,,2025. 9. 18 오후 9:11:17,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,9,Cam2,9,flop,"Derik Call 2,000 2000",완료,Derik
148,2034,2061,2025-09-19,,2025. 9. 18 오후 9:17:33,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,10,Cam2,10,river,Matthew Call 300 300,완료,Matthew
149,2062,2090,2025-09-19,,2025. 9. 18 오후 9:33:07,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,11,Cam2,11,river,Kai Folds,완료,Matthew
150,2091,2107,2025-09-19,,2025. 9. 18 오후 9:38:54,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,12,Cam2,12,river,"Derik Call 8,000 8000",완료,Hazed
151,2108,2114,2025-09-19,,2025. 9. 18 오후 9:48:42,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,13,Cam2,13,preflop,,진행중,
152,2115,2133,2025-09-19,,2025. 9. 18 오후 9:56:38,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,14,Cam2,14,river,Hazed All In 22100,검토필요,
153,2134,2145,2025-09-19,,2025. 9. 18 오후 10:12:12,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,15,Cam2,15,preflop,,완료,Margot
154,2146,2163,2025-09-19,,2025. 9. 18 오후 10:30:24,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,16,Cam2,16,river,Hazed Check,완료,Rhina
155,2164,2182,2025-09-19,,2025. 9. 18 오후 10:36:19,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,17,Cam2,17,turn,"Rhina Call -6,000 -6000",진행중,
156,2183,2220,2025-09-19,,2025. 9. 18 오후 10:44:16,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,18,Cam2,18,turn,Derik All In -12000,완료,Matthew
157,2221,2232,2025-09-19,,2025. 9. 18 오후 10:47:36,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,19,Cam2,19,preflop,"Zed Call 8,000 8000",완료,Rhina
158,2255,2273,2025-09-19,,2025. 9. 18 오후 10:52:24,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,20,Cam2,20,river,"Zed Call 20,000 20000",완료,Rhina
159,2292,2308,2025-09-19,,2025. 9. 18 오후 11:41:41,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,21,Cam2,21,river,"Margot Call 13,000 13000",완료,Margot
160,2309,2324,2025-09-19,,2025. 9. 18 오후 11:45:44,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,22,Cam2,22,preflop,Rhina Folds,완료,Rhina
161,2325,2343,2025-09-19,,2025. 9. 18 오후 11:54:56,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,23,Cam2,23,river,Zed Check,완료,Chris
162,2344,2367,2025-09-19,,2025. 9. 19 오전 12:31:45,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,24,Cam2,24,river,"Matthew Call 409,000 409000",완료,Hazed
163,2368,2382,2025-09-19,,2025. 9. 19 오전 12:34:56,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,25,Cam2,25,turn,Rhina Folds,완료,Zed
164,2383,2404,2025-09-19,,2025. 9. 19 오전 12:42:20,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,26,Cam2,26,turn,Chris Check,진행중,
165,2405,2423,2025-09-19,,2025. 9. 19 오전 12:58:50,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,27,Cam2,27,river,"Margot Call 10,000 10000",검토필요,
166,2424,2443,2025-09-19,,2025. 9. 19 오전 1:04:21,HOLDEM,GGPtable,2025-09-19,Cam1+Cam2,Cam1,28,Cam2,28,river,"Rhina Call 30,000 30000",검토필요,
167,2444,2449,2025-09-19,,2025. 9. 19 오전 2:06:38,HOLDEM,GGPT02,2025-09-19,Cam1+Cam2,Cam1,29,Cam2,29,preflop,,진행중,
168,2450,2478,2025-09-19,,2025. 9. 19 오전 5:02:16,HOLDEM,NewT03,2025-09-19,Cam1+Cam2,Cam1,30,Cam2,30,river,Heidi Swift Folds,완료,Heidi Swift
169,2479,2484,2025-09-19,,2025. 9. 19 오전 5:05:43,HOLDEM,NewT05,2025-09-19,Cam1+Cam2,Cam1,31,Cam2,31,preflop,,진행중,
170,2485,2500,2025-09-19,,2025. 9. 19 오전 5:15:53,HOLDEM,NewT04,2025-09-19,Cam1+Cam2,Cam1,32,Cam2,32,river,Jeff Luettgen Check,검토필요,
171,2501,2516,2025-09-19,,2025. 9. 19 오전 5:25:52,HOLDEM,NewT03,2025-09-19,Cam1+Cam2,Cam1,33,Cam2,33,river,"Villain09 All-in 35,000 35000",완료,Heidi Swift
172,2517,2530,2025-09-19,,2025. 9. 19 오전 6:05:36,HOLDEM,NewT14,2025-09-19,Cam1+Cam2,Cam1,34,Cam2,34,river,V06 Folds,검토필요,
173,2531,2548,2025-09-19,,2025. 9. 19 오전 6:23:21,HOLDEM,NewT14,2025-09-19,Cam1+Cam2,Cam1,35,Cam2,35,river,Adam Kertzmann Check,완료,Adam Kertzmann
174,2549,2562,2025-09-19,,2025. 9. 19 오전 6:28:31,HOLDEM,NewT03,2025-09-19,Cam1+Cam2,Cam1,36,Cam2,36,turn,V04 Folds,완료,Heidi Swift
175,2575,2585,2025-09-19,,2025. 9. 19 오전 6:37:44,HOLDEM,NewT03,2025-09-19,Cam1+Cam2,Cam1,37,Cam2,37,preflop,,완료,Heidi Swift
176,2586,2604,2025-09-19,,2025. 9. 19 오전 6:42:54,HOLDEM,NewT06,2025-09-19,Cam1+Cam2,Cam1,38,Cam2,38,river,V05 Check,완료,Katie Hills
177,2605,2630,2025-09-19,,2025. 9. 19 오전 6:53:11,HOLDEM,NewT04,2025-09-19,Cam1+Cam2,Cam1,39,Cam2,39,river,"V07 Call 37,000 37000",완료,V07
178,2631,2642,2025-09-19,,2025. 9. 19 오전 7:11:56,HOLDEM,NewT06,2025-09-19,Cam1+Cam2,Cam1,40,Cam2,40,preflop,,완료,V05
179,2643,2658,2025-09-19,,2025. 9. 19 오전 7:19:39,HOLDEM,NewT18,2025-09-19,Cam1+Cam2,Cam1,41,Cam2,41,river,"Pauline Lebsack Call 11,000 11000",완료,V03
180,2659,2672,2025-09-19,,2025. 9. 19 오전 7:36:57,HOLDEM,NewT03,2025-09-19,Cam1+Cam2,Cam1,42,Cam2,42,turn,Heidi Swift Folds,완료,V04
181,2673,2684,2025-09-19,,2025. 9. 19 오전 8:11:03,HOLDEM,NewT13,2025-09-19,Cam1+Cam2,Cam1,43,Cam2,43,preflop,,진행중,
182,2685,2702,2025-09-22,,2025. 9. 22 오전 4:19:38,HOLDEM,NewT02,2025-09-22,Cam1+Cam2,Cam1,44,Cam2,44,river,"Jeff Luettgen Call 15,000 15000",완료,V04
183,2703,2722,2025-09-22,,2025. 9. 22 오전 6:04:23,HOLDEM,10,2025-09-22,Cam1+Cam2,Cam1,0,Cam2,0,river,Iris Windler Check,완료,Delores Collins
